model,provider,algorithm,task,paradigm,stage,k_disclosed,n_shot,n_test,key_seed,data_seed,accuracy,parse_error,key_cell_accuracy,undisclosed_cell_accuracy,key_exact_match,heldout_accuracy,git_commit,finished_at,path,format
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/table_add_k26/run_20260716_192129,lora,table_add_k26,predict,pure,2,0,0,50,0,0,0.08,0,,,,,706d2e6,2026-07-16T21:03:09,results/llm_eval/table_add_k26/predict_pure/n0_t50_stage2_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_table_add_k26_run_20260716_192129,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add_k26/run_20260721_161433,lora,table_add_k26,predict,pure,2,0,0,50,0,0,1.0,0,,,,,8538ab8,2026-07-22T00:34:26,results/llm_eval/table_add_k26/predict_pure/n0_t50_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260721_161433,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/table_add_k26/run_20260717_182330,lora,table_add_k26,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-18T02:42:54,results/llm_eval/table_add_k26/predict_pure/n0_t50_stage2_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_table_add_k26_run_20260717_182330,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/table_add_k20/run_20260717_164228,lora,table_add_k20,predict,pure,2,0,0,50,0,0,0.24,0,,,,,706d2e6,2026-07-17T18:23:28,results/llm_eval/table_add_k20/predict_pure/n0_t50_stage2_k0/ks0_ds0/_home_nalt_ghq_github.com_Naruto-Takahashi_human-computable-passwords_results_finetuned_models_qwen2.5_3b_table_add_k20_run_20260717_164228,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260823_004525,lora,func_22_k10,predict,pure,2,0,0,500,1,0,0.13,0,,,,,584cb09,2026-08-23T02:51:29,results/llm_eval/func_22_k10/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260823_004525,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260823_210006,lora,func_22_k10,predict,pure,2,0,0,500,1,0,0.126,0,,,,,360d015,2026-08-24T06:27:24,results/llm_eval/func_22_k10/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260823_210006,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260823_151707,lora,func_22_k10,predict,pure,2,0,0,500,1,0,0.122,0,,,,,360d015,2026-08-23T21:00:04,results/llm_eval/func_22_k10/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260823_151707,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260913_102443,lora,func_22_k10,predict,pure,2,0,0,500,0,0,0.114,0,,,,,c480baa,2026-09-13T17:59:29,results/llm_eval/func_22_k10/predict_pure/n0_t500_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260913_102443,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260913_175931,lora,func_22_k10,predict,pure,2,0,0,500,0,0,0.236,0,,,,,c480baa,2026-09-14T01:34:18,results/llm_eval/func_22_k10/predict_pure/n0_t500_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260913_175931,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260909_195019,lora,func_22_k10,predict,pure,2,0,0,500,0,0,0.2,0,,,,,eec081d,2026-09-09T21:54:26,results/llm_eval/func_22_k10/predict_pure/n0_t500_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260909_195019,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260823_025131,lora,func_22_k10,predict,pure,2,0,0,500,2,0,0.16,0,,,,,584cb09,2026-08-23T04:55:40,results/llm_eval/func_22_k10/predict_pure/n0_t500_stage2_k0/ks2_ds0/qwen2.5_3b_ft_20260823_025131,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/narrowptr_k10_m1/run_20260902_015225,lora,narrowptr_k10_m1,predict,pure,2,0,0,500,1,0,0.098,0,,,,,0d6f92d,2026-09-02T03:58:29,results/llm_eval/narrowptr_k10_m1/predict_pure/n0_t500_stage2_k0/ks1_ds0/qwen2.5_3b_ft_20260902_015225,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/narrowptr_k10_m1/run_20260917_191647,lora,narrowptr_k10_m1,predict,pure,2,0,0,500,0,0,0.986,0,,,,,bafd5d7,2026-09-18T02:55:14,results/llm_eval/narrowptr_k10_m1/predict_pure/n0_t500_stage2_k0/ks0_ds0/qwen2.5_3b_ft_20260917_191647,v2
