algorithm,key_seed,data_seed,n_train,epochs,lr,stage,paradigm,n_test,accuracy,n_evals,final_val_loss,min_val_loss,takeoff_epoch,legacy_meta,active,run,path
dualptr_k10,1,0,1000,5,0.0002,実験3: 構造ラダー（dualptr / recptr）,pure,500,0.144,1,0.19292660057544708,0.19220679998397827,,False,False,run_20260823_045542,results/llm_finetune/qwen2.5_3b/dualptr_k10/run_20260823_045542
dualptr_k10,2,0,1000,5,0.0002,実験3: 構造ラダー（dualptr / recptr）,pure,500,0.138,1,0.18624871969223022,0.18581260740756989,,False,False,run_20260823_092300,results/llm_finetune/qwen2.5_3b/dualptr_k10/run_20260823_092300
func_22,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,0.12,1,0.1916225254535675,0.19152316451072693,,False,False,run_20260717_000604,results/llm_finetune/qwen2.5_3b/func_22/run_20260717_000604
func_22,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,200,0.065,1,0.19141548871994019,0.19141548871994019,,False,False,run_20260716_210311,results/llm_finetune/qwen2.5_3b/func_22/run_20260716_210311
func_22,0,0,5000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,200,0.08,1,0.19183765351772308,0.19183765351772308,,False,False,run_20260718_024256,results/llm_finetune/qwen2.5_3b/func_22/run_20260718_024256
func_22,42,42,16,1,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pot,,,0,,,,True,False,run_20260703_164407,results/llm_finetune/qwen2.5_3b/func_22/run_20260703_164407
func_22,42,42,40,3,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pot,,,0,,,,True,False,run_20260703_160130,results/llm_finetune/qwen2.5_3b/func_22/run_20260703_160130
func_22,42,42,200,1,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pot,,,0,,,,True,False,run_20260704_143051,results/llm_finetune/qwen2.5_3b/func_22/run_20260704_143051
func_22,42,42,200,1,5e-05,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pot,,,0,,,,True,False,run_20260704_060001,results/llm_finetune/qwen2.5_3b/func_22/run_20260704_060001
func_22,42,42,200,2,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,,,0,,,,True,False,run_20260705_025608,results/llm_finetune/qwen2.5_3b/func_22/run_20260705_025608
func_22,42,42,200,2,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pot,,,0,,,,True,False,run_20260704_132018,results/llm_finetune/qwen2.5_3b/func_22/run_20260704_132018
func_22,42,42,200,2,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,rationale,,,0,,,,True,False,run_20260705_021019,results/llm_finetune/qwen2.5_3b/func_22/run_20260705_021019
func_22,42,42,200,3,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,,,0,,,,True,False,run_20260706_115157,results/llm_finetune/qwen2.5_3b/func_22/run_20260706_115157
func_22,42,42,200,3,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,,,0,,,,True,False,run_20260707_082446,results/llm_finetune/qwen2.5_3b/func_22/run_20260707_082446
func_22,42,42,800,3,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pot,,,0,,,,True,False,run_20260703_200935,results/llm_finetune/qwen2.5_3b/func_22/run_20260703_200935
func_22,42,42,800,3,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,,,0,,,,True,False,run_20260704_204311,results/llm_finetune/qwen2.5_3b/func_22/run_20260704_204311
func_22,42,42,800,3,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pot,,,0,,,,True,False,run_20260701_162356,results/llm_finetune/qwen2.5_3b/func_22/run_20260701_162356
func_22_k10,0,0,1000,5,0.0002,実験6: 鍵の交絡,pure,500,0.2,1,0.17974624037742615,0.1741679310798645,,False,True,run_20260909_195019,results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260909_195019
func_22_k10,1,0,1000,5,0.0002,実験3: 構造ラダー（dualptr / recptr）,pure,500,0.13,1,0.1917870193719864,0.1917870193719864,,False,False,run_20260823_004525,results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260823_004525
func_22_k10,1,0,3000,5,0.0002,実験4: 学習量スイープ,pure,500,0.122,1,0.19181767106056213,0.19181767106056213,,False,False,run_20260823_151707,results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260823_151707
func_22_k10,1,0,5000,5,0.0002,実験4: 学習量スイープ,pure,500,0.126,1,0.19164741039276123,0.19164741039276123,,False,False,run_20260823_210006,results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260823_210006
func_22_k10,2,0,1000,5,0.0002,実験3: 構造ラダー（dualptr / recptr）,pure,500,0.16,1,0.18022367358207703,0.18022367358207703,,False,False,run_20260823_025131,results/llm_finetune/qwen2.5_3b/func_22_k10/run_20260823_025131
lookup_k10,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,9.817583304538857e-06,9.817583304538857e-06,1,False,False,run_20260716_142731,results/llm_finetune/qwen2.5_3b/lookup_k10/run_20260716_142731
lookup_k26,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,1.2626909665414132e-05,1.2626909665414132e-05,2,False,False,run_20260716_160156,results/llm_finetune/qwen2.5_3b/lookup_k26/run_20260716_160156
lookup_k4,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,1.0,1,1.1736416126950644e-05,1.1736416126950644e-05,1,False,False,run_20260716_125310,results/llm_finetune/qwen2.5_3b/lookup_k4/run_20260716_125310
narrowptr_k10_m1,1,0,1000,5,0.0002,実験5: 参照範囲ラダー（narrowptr）,pure,500,0.098,1,0.19181984663009644,0.1917845606803894,,False,False,run_20260902_015225,results/llm_finetune/qwen2.5_3b/narrowptr_k10_m1/run_20260902_015225
narrowptr_k10_m1,2,0,1000,5,0.0002,実験5: 参照範囲ラダー（narrowptr）,pure,500,0.134,1,0.18872378766536713,0.18872378766536713,,False,False,run_20260902_101812,results/llm_finetune/qwen2.5_3b/narrowptr_k10_m1/run_20260902_101812
narrowptr_k10_m2,1,0,1000,5,0.0002,実験5: 参照範囲ラダー（narrowptr）,pure,500,0.096,1,0.1918121725320816,0.19114567339420319,,False,False,run_20260902_035831,results/llm_finetune/qwen2.5_3b/narrowptr_k10_m2/run_20260902_035831
narrowptr_k10_m2,2,0,1000,5,0.0002,実験5: 参照範囲ラダー（narrowptr）,pure,500,0.174,1,0.17208397388458252,0.17208397388458252,,False,False,run_20260902_122450,results/llm_finetune/qwen2.5_3b/narrowptr_k10_m2/run_20260902_122450
narrowptr_k10_m3,1,0,1000,5,0.0002,実験5: 参照範囲ラダー（narrowptr）,pure,500,0.09,1,0.19234687089920044,0.1917497217655182,,False,False,run_20260902_060434,results/llm_finetune/qwen2.5_3b/narrowptr_k10_m3/run_20260902_060434
narrowptr_k10_m3,2,0,1000,5,0.0002,実験5: 参照範囲ラダー（narrowptr）,pure,500,0.198,1,0.16499274969100952,0.16499274969100952,,False,False,run_20260902_143124,results/llm_finetune/qwen2.5_3b/narrowptr_k10_m3/run_20260902_143124
narrowptr_k10_m5,1,0,1000,5,0.0002,実験5: 参照範囲ラダー（narrowptr）,pure,500,0.098,1,0.1921902894973755,0.19184432923793793,,False,False,run_20260902_081227,results/llm_finetune/qwen2.5_3b/narrowptr_k10_m5/run_20260902_081227
narrowptr_k10_m5,2,0,1000,5,0.0002,実験5: 参照範囲ラダー（narrowptr）,pure,500,0.136,1,0.1882714033126831,0.1879248023033142,,False,False,run_20260902_164130,results/llm_finetune/qwen2.5_3b/narrowptr_k10_m5/run_20260902_164130
pointer_chain_k10_d1,0,0,1000,5,0.0002,実験2: 深さラダー（pointer_chain）,pure,500,0.304,1,0.17313358187675476,0.13856631517410278,2,False,False,run_20260816_143142,results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d1/run_20260816_143142
pointer_chain_k10_d1,1,0,1000,5,0.0002,実験2: 深さラダー（pointer_chain）,pure,500,0.248,1,0.17111442983150482,0.17111442983150482,,False,False,run_20260816_195925,results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d1/run_20260816_195925
pointer_chain_k10_d1,2,0,1000,5,0.0002,実験2: 深さラダー（pointer_chain）,pure,500,0.358,1,0.1968851089477539,0.1519964635372162,,False,False,run_20260816_235035,results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d1/run_20260816_235035
pointer_chain_k10_d2,0,0,1000,5,0.0002,実験2: 深さラダー（pointer_chain）,pure,500,0.384,1,0.1241731271147728,0.1241731271147728,2,False,False,run_20260816_161732,results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d2/run_20260816_161732
pointer_chain_k10_d2,1,0,1000,5,0.0002,実験2: 深さラダー（pointer_chain）,pure,500,0.242,1,0.18367943167686462,0.1805160641670227,,False,False,run_20260816_214500,results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d2/run_20260816_214500
pointer_chain_k10_d2,2,0,1000,5,0.0002,実験2: 深さラダー（pointer_chain）,pure,500,0.356,1,0.1305180788040161,0.1305180788040161,4,False,False,run_20260817_013649,results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d2/run_20260817_013649
pointer_chain_k10_d3,1,0,1000,5,0.0002,実験2: 深さラダー（pointer_chain）,pure,500,0.316,1,0.15590596199035645,0.15590596199035645,,False,False,run_20260817_095544,results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d3/run_20260817_095544
pointer_chain_k10_d3,2,0,1000,5,0.0002,実験2: 深さラダー（pointer_chain）,pure,500,0.44,1,0.1319032907485962,0.13123852014541626,3,False,False,run_20260817_120042,results/llm_finetune/qwen2.5_3b/pointer_chain_k10_d3/run_20260817_120042
pointer_k10,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,0.34,1,0.18620578944683075,0.1395995169878006,2,False,False,run_20260728_033104,results/llm_finetune/qwen2.5_3b/pointer_k10/run_20260728_033104
pointer_k26,0,0,1000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,0.14,1,0.17141669988632202,0.17043456435203552,,False,False,run_20260728_051352,results/llm_finetune/qwen2.5_3b/pointer_k26/run_20260728_051352
pointer_k26,0,0,5000,5,0.0002,7月: 難易度ラダーの探索（記憶・合成・動的参照）,pure,50,0.18,1,0.1579282283782959,0.1579282283782959,,False,False,run_20260728_070545,results/llm_finetune/qwen2.5_3b/pointer_k26/run_20260728_070545
recptr_k10,1,0,1000,5,0.0002,実験3: 構造ラダー（dualptr / recptr）,pure,500,0.104,1,0.19146423041820526,0.19146423041820526,,False,False,run_20260823_070158,results/llm_finetune/qwen2.5_3b/recptr_k10/run_20260823_070158
